1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1101.5,4.4356e+05,6968.2,12443,6.6983e+05,620.46,6119.7,2.8193e+05,1003.6,12459,2.6037e+05,308.47,400.67,12973,580.1,3.1283e+05,940.76,1438.8,15191,2.9646e+05,2.9874e+05,3371.4,1.083e+05,4.7873e+05,2.5942e+05,1.925e+05,1610,1.4951e+05,324.69,1.2974e+05,2.1059e+05,2.8635e+05,1.9148e+05,296.93,69488,12029,47508,3639.7,13016,1.8498e+05,530.09,3.8364e+05,3620.5,3990.4,1.8746e+05,28992,458.19,493.51,4.3099e+05,711.13,2.7781e+05,1.1746e+05,8826.4,4760.9,46530,1056.3,2.2946e+05,2497.8,48.959,1.7767e+05,1.1136e+05,26.674,63936,5186.7,49729,9649,5313.1,23546,94084,1.8671e+05,370.71
1645.3,2.7772e+05,2992.6,7791.7,4.8558e+05,171.17,1821.1,1.3133e+05,27.377,6367.3,3.3882e+05,146.14,251.48,11184,1085,1.702e+05,153.02,191.44,3418.8,1.6753e+05,1.9015e+05,896.68,81891,2.0554e+05,95465,1.4576e+05,812.53,1.6129e+05,150.49,82087,1.4718e+05,2.0874e+05,1.2549e+05,39.518,48199,11927,20356,312.53,1952,58408,1325.7,2.2654e+05,14142,2041.2,49261,2544.9,46.317,39.361,2.9167e+05,1105.9,2.8783e+05,91975,9611.5,8823.5,11290,2813.8,93081,1901.7,4.299,1.387e+05,90932,12.501,34591,621.84,29524,6722.6,2273.8,7093.6,85756,1.5777e+05,64.692
614.17,1.233e+05,1013.1,2566.5,3.1933e+05,189.34,1700.6,36701,34.912,15368,2.285e+05,140.43,359.2,14061,337.44,71210,151.57,32.834,4994.9,1.0027e+05,2.0491e+05,137.96,49878,1.06e+05,88355,49700,246.62,1.0971e+05,86.793,80319,75945,1.3578e+05,1.5844e+05,22.193,27378,10452,10695,113.75,2018.9,52274,2168.3,1.2148e+05,8234.4,2171.2,51339,1549.4,217.53,191.1,2.1859e+05,59.659,1.8544e+05,46644,1061.7,3700.6,3421.9,4673.2,31284,310.51,20.486,85962,1.081e+05,17.866,24804,560.86,28846,543.53,980.19,6519.3,40531,1.0726e+05,50.105
273.28,89300,28.029,2967.8,2.21e+05,92.484,227.35,28714,596.61,5837.7,1.4773e+05,3162.5,433.95,18496,435.53,53657,85.77,24.825,4511.5,62053,1.6654e+05,129.22,22746,99466,1.0244e+05,73548,739.25,54981,115.04,52208,70394,99139,1.045e+05,24.225,15570,7960.3,4721.8,2843.9,1975.9,38886,269.55,1.3572e+05,3106.7,1806.8,29486,2086.9,2480.5,17.547,1.4384e+05,39.595,1.3081e+05,29093,3553.1,1140.2,3091.2,40156,94855,356.64,3.703,63699,34210,8.451,19458,1666.4,24153,605.07,3304.5,5281.9,56231,86865,35.674
274.78,49893,19.726,2736.2,1.6527e+05,107.65,256.83,34889,39.101,8479.2,1.2853e+05,804.93,314.39,4065.8,135.94,49189,138.12,81.385,2350.1,26498,64050,83.453,17602,77010,29960,22144,48.355,26783,119.99,37675,54623,93915,35213,18.426,4904.7,1441.6,6020.5,686.35,1517.8,33605,75.655,1.3151e+05,8261.8,639.88,16821,1004,3.299,58.754,97596,50.094,30121,15806,1392.2,599.43,4919,8972.2,26365,226.07,75.456,42428,15698,13.028,12800,932.26,15397,52.971,1806.5,2243.7,35441,38558,47.804
458.91,93008,24.906,2618.9,2.077e+05,136.46,2922.3,47042,21.266,2528.5,85897,104.42,366.32,1181.1,111.12,61636,194.41,24.49,2257.4,27629,61710,192.67,30240,1.0073e+05,45950,22986,23.11,33486,505.82,43452,55941,63112,38051,26.948,5779,3401.6,2827.8,64.166,390.36,77769,974,76177,877.18,1208.1,28713,3747.5,2.721,18.633,1.2479e+05,622.77,34544,25743,2959.7,693.13,4965.6,18990,34200,3744,3.649,38580,20049,9.262,21830,1434.9,21171,621.48,2609,9013.5,50427,42530,51.817
988.62,1.4157e+05,21.543,3683.1,3.3393e+05,316.68,709.64,1.0617e+05,180.89,25693,1.0981e+05,224.79,1346.9,3236.1,253.24,1.1621e+05,1199.6,150.26,3071.8,1.0381e+05,1.8393e+05,3988,35927,1.7314e+05,97014,89541,133.39,50274,885.74,71110,2.0735e+05,83625,78647,20.174,15543,1785.1,10794,99.931,424.45,2.1791e+05,2058.4,1.4669e+05,7017.1,459.96,54398,3442.6,205.08,10.621,2.0944e+05,446.62,82188,45222,3844.6,10255,21382,19632,68681,2835.5,21.787,65142,32271,9.934,47492,1887.2,67306,378.34,418.96,18756,89153,77347,42.174
1203.8,1.4672e+05,33.811,15069,4.7658e+05,1184.9,947.18,1.8574e+05,184.7,24775,1.6301e+05,1163.5,701.07,3063.8,1052.8,1.8326e+05,1867.7,240.32,1842.8,2.001e+05,1.9781e+05,2630.9,88819,3.2467e+05,1.786e+05,96731,122.01,99722,449.26,65036,3.7859e+05,1.5318e+05,1.0688e+05,119.25,27833,4709.9,17170,318.44,1174.2,3.4775e+05,312.11,3.2139e+05,1195.8,802.09,49182,10702,66.224,1159.8,2.6703e+05,1774.1,1.6165e+05,98408,2793.3,2019.2,35042,38381,1.2087e+05,724.92,13.481,1.1238e+05,44331,14.229,46753,3130.7,71567,1481.2,14671,17468,36097,79433,520.63
5789.9,1.9859e+05,1783.6,25150,6.735e+05,968.76,3917.5,3.1023e+05,59.502,48102,2.3018e+05,6411.1,1279,2797.9,2037.2,2.4509e+05,4162.2,14525,4004.2,3.1383e+05,1.6086e+05,2760.5,52755,3.7382e+05,1.6444e+05,1.4681e+05,157.22,1.3104e+05,1270.7,68151,5.0901e+05,1.6325e+05,1.8367e+05,2684.5,38108,4927.7,36767,677.44,7361.2,4.0597e+05,761.66,3.459e+05,4795.9,4782.7,97723,11562,3796.6,638.74,2.9946e+05,1911.4,1.1905e+05,1.5244e+05,3716.2,1330.3,35232,24224,1.0152e+05,2906.7,948.13,1.6231e+05,77034,23.188,58531,3137.4,1.2859e+05,9044.4,15288,30819,69195,95998,4095.6
2176.2,2.7001e+05,3858.9,40583,8.1515e+05,1353.8,2759.4,3.7912e+05,679.89,50589,3.1427e+05,9597.2,3187,7137.5,2207.2,1.9517e+05,1795.3,14933,7810.8,4.891e+05,1.8599e+05,3795.3,80550,4.4525e+05,1.821e+05,1.8286e+05,65.675,1.7606e+05,1503.6,92632,5.3914e+05,2.3623e+05,2.4045e+05,1971.7,44970,11433,36899,1991,30994,4.9088e+05,6316.7,4.1687e+05,15260,5595.4,1.027e+05,4933.2,1431.4,1214.5,3.4133e+05,8613.6,1.8999e+05,1.0266e+05,5761.7,8945.8,25228,36230,1.0934e+05,1986.6,819.1,1.548e+05,1.246e+05,272.34,81362,13763,2.139e+05,4875.7,14132,42011,88139,1.1776e+05,7589.1
